timestamp,unified_frame,green_index,yellow_index,pose_x,pose_y,ori_y,distance,disp_angle,group
1750547462.43203,10222,614,808,-0.0611889157553692,-0.00238104885393198,0.0356105520286138,0.0612352251972872,-3.10269920207484,0
1750547462.48744,10223,611,808,-0.0611598396053947,-0.00239612160023583,0.0357263129433574,0.0612067592613816,-3.10243465720123,0
1750547462.54288,10224,611,808,-0.0611690205804537,-0.00269272558819966,0.0354921388170175,0.0612282602224276,-3.09759998847562,0
1750547462.59818,10225,611,805,-0.0608829332237948,-0.0023916445369383,0.0401971692620051,0.0609298902142792,-3.10233016502237,0
1750547462.65375,10226,614,805,-0.0611697948354716,-0.00239046351816963,0.0356599537002918,0.0612164856557887,-3.10253338014991,0
1750547462.70941,10227,615,805,-0.0611838828958128,-0.00268441356900906,0.0354384560936805,0.0612427432633289,-3.09774625232131,0
1750547462.76542,10228,615,803,-0.0611996830408539,-0.00268664424881415,0.0354709124723601,0.0612586260180611,-3.09772117865483,0
1750547462.823,10229,614,801,-0.0608884231950297,-0.00268108400573863,0.0377010146598346,0.0609474223460095,-3.09758834029689,0
1750547462.87825,10230,614,800,-0.0611754682602513,-0.00266521095506633,0.0354978500423927,0.0612334979100167,-3.09805352409214,0
1750547462.9334,10231,613,800,-0.0608898664289505,-0.00239043742397982,0.0400601666658386,0.0609367707120536,-3.10235442504809,0
1750547462.98823,10232,613,801,-0.061170747970961,-0.00238484674729067,0.0356575494719114,0.0612172189938002,-3.10262566964444,0
1750547463.0453,10233,616,801,-0.0611784439612248,-0.00269047365085362,0.0355260557290582,0.0612375755070582,-3.09764349419013,0
1750547463.10046,10234,616,801,-0.0611937660030712,-0.00269553958185798,0.0355448479699355,0.06125310548271,-3.09757185920666,0
1750547463.15615,10235,617,801,-0.0611776977078753,-0.00269681396884003,0.0355049299943028,0.061237108867244,-3.09753952157452,0
1750547463.21174,10236,618,801,-0.061198983068151,-0.00269662971172024,0.0333158683002402,0.0612583654726272,-3.09755782865589,0
1750547463.2732,10237,619,801,-0.0608718148324702,-0.00237960025141815,0.0423971922543007,0.060918308728617,-3.10252056065331,0
1750547463.33001,10238,618,801,-0.0611758713016907,-0.00239600155388875,0.0357052739297906,0.0612227739731487,-3.10244686773924,0
1750547463.38687,10239,619,802,-0.0611642642278983,-0.00268223562587977,0.0356445459138236,0.0612230480006746,-3.09776774614702,0
