sec,nanosec,frame_num,pusher_name,color_r,color_g,color_b,color_a,loc_x,loc_y,loc_z,nearest_x,nearest_y,nearest_z,kappa,object_index,local_contour_index
1750547462,432034829,10222,green,0.0,1.0,0.0,1.0,-0.07145331039198474,-0.5174266491978323,0.010000000000000009,-0.04771929431652209,-0.5212596789286086,0.01500000000000001,0.006271495018154383,0,614
1750547462,487437310,10223,green,0.0,1.0,0.0,1.0,-0.06533984968712096,-0.5159161708166979,0.010000000000000009,-0.047471524307012736,-0.519382799221662,0.01500000000000001,0.006467786151915789,0,611
1750547462,542875338,10224,green,0.0,1.0,0.0,1.0,-0.05895594386002943,-0.5171202686149402,0.010000000000000009,-0.0474520559342151,-0.5194009150228796,0.01500000000000001,0.006467786151915789,0,611
1750547462,598175074,10225,green,0.0,1.0,0.0,1.0,-0.05654069437864491,-0.5180326140785927,0.010000000000000009,-0.04744180085856111,-0.519691364329737,0.01500000000000001,0.006467786151915789,0,611
1750547462,653750923,10226,green,0.0,1.0,0.0,1.0,-0.05682780600970003,-0.5195527307002347,0.010000000000000009,-0.047818341741968896,-0.5210954429249766,0.01500000000000001,0.006271495018154383,0,614
1750547462,709413715,10227,green,0.0,1.0,0.0,1.0,-0.05744390821475573,-0.5201530884251204,0.010000000000000009,-0.04782569955731808,-0.5214999650273808,0.01500000000000001,0.006197033450007439,0,615
1750547462,765424245,10228,green,0.0,1.0,0.0,1.0,-0.0571594548934836,-0.5204578919562461,0.010000000000000009,-0.047821869912107344,-0.5217880128434627,0.01500000000000001,0.006197033450007439,0,615
1750547462,823004743,10229,green,0.0,1.0,0.0,1.0,-0.056544866566990544,-0.5195398367656046,0.010000000000000009,-0.04775056543030233,-0.5212640474287953,0.01500000000000001,0.006271495018154383,0,614
1750547462,878253123,10230,green,0.0,1.0,0.0,1.0,-0.056830549387057124,-0.5198336566787932,0.010000000000000009,-0.04762082012178075,-0.521317900789223,0.01500000000000001,0.006271495018154383,0,614
1750547462,933397766,10231,green,0.0,1.0,0.0,1.0,-0.057459233221738876,-0.5189386366049751,0.010000000000000009,-0.04763706129186921,-0.5207165699407071,0.01500000000000001,0.006341543979942799,0,613
1750547462,988227854,10232,green,0.0,1.0,0.0,1.0,-0.05682802374014723,-0.5192439764742016,0.010000000000000009,-0.04772505841569927,-0.520563375024639,0.01500000000000001,0.006341543979942799,0,613
1750547463,45297917,10233,green,0.0,1.0,0.0,1.0,-0.056220481715452755,-0.5204645836200634,0.010000000000000009,-0.04791434333957461,-0.5220216555979093,0.01500000000000001,0.006118331104516983,0,616
1750547463,100458531,10234,green,0.0,1.0,0.0,1.0,-0.05471799398553924,-0.5210708098164198,0.010000000000000009,-0.0479114718418705,-0.522323766580794,0.01500000000000001,0.006118331104516983,0,616
1750547463,156149276,10235,green,0.0,1.0,0.0,1.0,-0.05409494527767165,-0.5216841216295308,0.010000000000000009,-0.04801452325760426,-0.5228569811862198,0.01500000000000001,0.006035570986568928,0,617
1750547463,211736556,10236,green,0.0,1.0,0.0,1.0,-0.05411215818738865,-0.5222927909390125,0.010000000000000009,-0.04807980511123233,-0.5233851033170257,0.01500000000000001,0.005948948208242655,0,618
1750547463,273203772,10237,green,0.0,1.0,0.0,1.0,-0.05378475080178792,-0.5228921369841563,0.010000000000000009,-0.04801142169330494,-0.5238542205937041,0.01500000000000001,0.005858666263520718,0,619
1750547463,330006771,10238,green,0.0,1.0,0.0,1.0,-0.05378478045949359,-0.5226017854423263,0.010000000000000009,-0.048319916051468195,-0.5232551882869017,0.01500000000000001,0.005948948208242655,0,618
1750547463,386874171,10239,green,0.0,1.0,0.0,1.0,-0.05377362117641228,-0.5225863868046996,0.010000000000000009,-0.04817661970423533,-0.5236178832324744,0.01500000000000001,0.005858666263520718,0,619
1750547463,442613448,10240,green,0.0,1.0,0.0,1.0,-0.052872904038253205,-0.5244207732259837,0.010000000000000009,-0.04832085787466128,-0.52495963093045,0.01500000000000001,0.0056679872795939445,0,621
1750547463,498331345,10241,green,0.0,1.0,0.0,1.0,-0.05257650536768392,-0.5247383386689505,0.010000000000000009,-0.04839967172686281,-0.5254930270592162,0.01500000000000001,0.0055680363439023495,0,622
1750547463,554062226,10242,green,0.0,1.0,0.0,1.0,-0.05106323988228326,-0.5250272296407438,0.010000000000000009,-0.04841752951029437,-0.5252108999859886,0.01500000000000001,0.0055680363439023495,0,622
1750547463,609598760,10243,green,0.0,1.0,0.0,1.0,-0.05105078740556142,-0.5259414244184666,0.010000000000000009,-0.04861299570682669,-0.526375592367442,0.01500000000000001,0.0062796263955533504,0,624
1750547463,665836710,10244,green,0.0,1.0,0.0,1.0,-0.05075319638332667,-0.5259502537935431,0.010000000000000009,-0.04838704909927538,-0.5264909429773239,0.01500000000000001,0.0062796263955533504,0,624
1750547463,721756859,10245,green,0.0,1.0,0.0,1.0,-0.05043915071483579,-0.5256255902178295,0.010000000000000009,-0.04849918958795871,-0.5257328006946411,0.01500000000000001,0.005752262659370899,0,623
1750547463,778218031,10246,green,0.0,1.0,0.0,1.0,-0.05043037243813923,-0.5256412718378791,0.010000000000000009,-0.0481724939466991,-0.5260138224416887,0.01500000000000001,0.005752262659370899,0,623
1750547463,833773841,10247,green,0.0,1.0,0.0,1.0,-0.0501101086270026,-0.5256401590715875,0.010000000000000009,-0.04816533037655738,-0.5260257844581625,0.01500000000000001,0.005752262659370899,0,623
