sec,nanosec,frame_num,pusher_name,color_r,color_g,color_b,color_a,loc_x,loc_y,loc_z,nearest_x,nearest_y,nearest_z,kappa,object_index,local_contour_index
1750783251,102041720,21419,green,0.0,1.0,0.0,1.0,0.07624798518717466,-0.5777575236971294,0.010000000000000009,0.05152226058570701,-0.576601677051245,0.000761269326267279,0.0037525161169469357,0,203
1750783251,153990893,21420,green,0.0,1.0,0.0,1.0,0.07074589320566474,-0.5751762907551732,0.010000000000000009,0.05157713122251773,-0.5739766194600459,0.0009592428010244151,0.004834149032831192,0,189
1750783251,205761938,21421,green,0.0,1.0,0.0,1.0,0.06880934643887483,-0.5758540089303212,0.010000000000000009,0.05155715105865837,-0.5747603265329533,0.0009226998136009279,0.004546675365418196,0,193
1750783251,257506000,21422,green,0.0,1.0,0.0,1.0,0.06589186828951737,-0.575497212603504,0.010000000000000009,0.05156137180907432,-0.574350543990365,0.0009351005671001996,0.004692681133747101,0,191
1750783251,311987191,21423,green,0.0,1.0,0.0,1.0,0.06462120231395996,-0.5758294857381591,0.010000000000000009,0.05157410774218807,-0.5747358100321156,0.000908669793787547,0.004546675365418196,0,193
1750783251,364852742,21424,green,0.0,1.0,0.0,1.0,0.06103543154180516,-0.5761625316718809,0.010000000000000009,0.05200857140727522,-0.5748956591018975,-0.0008489147977040687,0.0046202391386032104,0,192
1750783251,416312112,21425,green,0.0,1.0,0.0,1.0,0.06040467971916833,-0.5758133095189487,0.010000000000000009,0.051518345322857206,-0.5749872927119744,0.001679271067953519,0.004396232310682535,0,195
1750783251,467257462,21426,green,0.0,1.0,0.0,1.0,0.05847306775168183,-0.57484993883801,0.010000000000000009,0.051575192714107244,-0.5739467577648358,0.0011544227384664334,0.004834149032831192,0,189
1750783251,518192561,21427,green,0.0,1.0,0.0,1.0,0.05786103892169908,-0.5745461690231702,0.010000000000000009,0.05162926059938115,-0.5736197196509705,0.000995123712604757,0.004970989190042019,0,187
1750783251,569073561,21428,green,0.0,1.0,0.0,1.0,0.057186071368041796,-0.574202809045349,0.010000000000000009,0.051606505390462104,-0.5734106509376682,0.0010022840036779564,0.005037649534642696,0,186
1750783251,619906876,21429,green,0.0,1.0,0.0,1.0,0.05620151386279378,-0.5738854648639541,0.010000000000000009,0.05160392959845084,-0.5730395829675718,0.0010291490343643508,0.005099729634821415,0,184
1750783251,671247168,21430,green,0.0,1.0,0.0,1.0,0.055568613311872704,-0.5732475290286252,0.010000000000000009,0.05191236829509528,-0.5781437395750201,-0.004804753504508865,0.004472001455724239,0,194
1750783251,721312893,21431,green,0.0,1.0,0.0,1.0,0.05103067032889022,-0.574517422028663,0.010000000000000009,0.047337133301665814,-0.5809856755797368,-0.012113948719798475,0.0034075111616402864,0,207
1750783251,770780819,21432,green,0.0,1.0,0.0,1.0,0.048764265413100846,-0.575182616693787,0.010000000000000009,0.04495852285550806,-0.5786801855143606,-0.006246327870717331,0.003919465001672506,0,201
1750783251,824629151,21433,green,0.0,1.0,0.0,1.0,0.04425143947674022,-0.5764461853647871,0.010000000000000009,0.04019060373369279,-0.582436743844769,-0.007501494791884529,0.0032298038713634014,0,209
1750783251,875632908,21434,green,0.0,1.0,0.0,1.0,0.04266078990029576,-0.5774174389928759,0.010000000000000009,0.03955259330450639,-0.5811254964661007,-0.00405435850735467,0.0032298038713634014,0,209
1750783251,926363146,21435,green,0.0,1.0,0.0,1.0,0.04008571663055386,-0.5787169808599958,0.010000000000000009,0.0368569195183637,-0.5846594130542448,-0.0055830959412440165,0.0025837901048362255,0,216
1750783251,977570281,21436,green,0.0,1.0,0.0,1.0,0.03877943124753161,-0.579365100256752,0.010000000000000009,0.03275552356403764,-0.5804841616743326,0.0007720745362988155,0.003495097393169999,0,206
1750783252,27625015,21437,green,0.0,1.0,0.0,1.0,0.035889684461264885,-0.5815998420480684,0.010000000000000009,0.02934377824318587,-0.5835209220246486,-0.005202668447639201,0.003495097393169999,0,206
1750783252,78513604,21438,green,0.0,1.0,0.0,1.0,0.03458923312998653,-0.5828860312601849,0.010000000000000009,0.02932845725799724,-0.5847366157630145,0.003789461314751854,0.0022970596328377724,0,219
1750783252,127739049,21439,green,0.0,1.0,0.0,1.0,0.03295008112315836,-0.584825905910024,0.010000000000000009,0.026558616638358616,-0.5872429309434315,-0.00878706554512573,0.002771881641820073,0,214
1750783252,176728175,21440,green,0.0,1.0,0.0,1.0,0.031366957336083016,-0.5864423643181802,0.010000000000000009,0.029080793569746043,-0.5941697645178708,-0.004178182718991532,0.00010064254456665367,0,241
1750783252,226069577,21441,green,0.0,1.0,0.0,1.0,0.030712019478851438,-0.5867501821468147,0.010000000000000009,0.025853178865186656,-0.5893852839152316,0.0034925913768777536,0.001110075507313013,0,231
1750783252,275823474,21442,green,0.0,1.0,0.0,1.0,0.029111096228758508,-0.5874013342164699,0.010000000000000009,0.02724483630218436,-0.5964348852741963,-0.007164527932248669,-0.0004001860215794295,0,246
1750783252,326101471,21443,green,0.0,1.0,0.0,1.0,0.027820582427771866,-0.5883400122983382,0.010000000000000009,0.02678000635909141,-0.596310565452887,-0.005916992742448064,-0.0001003803699859418,0,243
1750783252,375438649,21444,green,0.0,1.0,0.0,1.0,0.027825018564853858,-0.5870691441847838,0.010000000000000009,0.022802481219338838,-0.5903526321706374,0.003055907243738233,0.001511063426733017,0,227
1750783252,425485283,21445,green,0.0,1.0,0.0,1.0,0.03715687964326628,-0.5786974497053317,0.010000000000000009,0.022446677812516413,-0.5897766993919442,0.0024679844771273,0.0018088544020429254,0,224
