timestamp,unified_frame,green_index,yellow_index,pose_x,pose_y,ori_y,distance,disp_angle,group
1750783251.102041721,21419,203,,-0.00020161079336570437,0.0026873413114337774,-1.5831477302450447,0.0026948933626657966,1.6456784486414209,0
1750783251.153990984,21420,189,,-0.00021004895694532594,0.002690824398348446,-1.5831498615671233,0.002699010282874279,1.6486995382752825,0
1750783251.205761909,21421,193,,-0.00020816519384884297,0.0026561994029798974,-1.5831250304083915,0.002664343824719492,1.6490060381344425,0
1750783251.257505894,21422,191,,-0.0002149208853170978,0.002691467193571606,-1.5831640300954948,0.0027000345629302046,1.6504799338404612,0
1750783251.311987162,21423,193,,-0.00019223347370316696,0.002680719376846219,-1.5831488628233945,0.0026876030372454127,1.6423834472055032,0
1750783251.364852667,21424,192,,-8.165229427826298e-05,0.0023113571811063105,-1.5837485550279782,0.0023127989786863477,1.606108200673432,0
1750783251.416312218,21425,195,,-0.00025152514095153067,0.002802382068988196,-1.5831741015892766,0.0028136471273273148,1.6603105220371623,0
1750783251.467257500,21426,189,,-0.00021307160993520174,0.0027208457535556896,-1.5831710589080152,0.0027291759059471427,1.6489476316457106,0
1750783251.518192530,21427,187,,-0.00016931066651586918,0.0026733086263216466,-1.5831277210478345,0.0026786648004858272,1.6340456016785518,0
1750783251.569073677,21428,186,,-0.00019746695064876835,0.002694587152436534,-1.5831148996618611,0.0027018129318430897,1.6439483845476406,0
1750783251.619906902,21429,184,,-0.0002142515723511998,0.002692096546681344,-1.5831820320732364,0.0027006087374717167,1.6502143325086707,0
1750783251.671247244,21430,194,,-0.0009651414514035214,0.002926563296069107,-1.5826082365257426,0.0030816019774000942,1.8893514604818655,0
1750783251.721313000,21431,207,,-0.0038523582170832196,0.00032447481445541104,-1.4741170055547221,0.00386599893144637,3.05756340703587,0
1750783251.770780802,21432,201,,-0.005043731232993037,-9.171073846825362e-05,-1.414666095598405,0.00504456495747848,-3.1234115434294685,0
1750783251.824629068,21433,209,,-0.008342896420780538,-0.0018602531424889435,-1.3412698515890429,0.008547775291969992,-2.922206947320776,0
1750783251.875633001,21434,209,,-0.00831092021066969,-0.0019083178437712123,-1.3043511192069648,0.00852719600695173,-2.9158892787825716,0
1750783252.176728249,21440,241,,-0.014733283297543025,-0.00874253168002126,-0.9679861420422367,0.017131885386665286,-2.6060501987231945,1
1750783252.226069689,21441,231,,-0.014827766583052307,-0.008990918708534856,-0.9651032174443168,0.017340682831565913,-2.596512061698469,1
1750783252.275823593,21442,246,,-0.015881831417121253,-0.010538511215015922,-0.8900537857245161,0.01906024102132174,-2.5557455147566115,1
1750783252.326101542,21443,243,,-0.01572205687137728,-0.01105922289714123,-0.8655501629956127,0.01922210923274224,-2.5285744922387465,1
1750783252.980165958,21456,682,,-0.015611316020218875,-0.010445156224260677,-0.8786748809787881,0.01878335636760252,-2.5519239332461696,2
1750783253.033122301,21457,677,,-0.015673230000817995,-0.01046118421110398,-0.8793536619713083,0.0188437393782973,-2.553044105028919,2
1750783253.085725069,21458,673,,-0.015647515597203773,-0.01047696007015153,-0.8793852612824362,0.01883112945832737,-2.551589226716587,2
1750783253.138576269,21459,675,,-0.015673282101096222,-0.010502759110951776,-0.8794014984885523,0.018866894836279333,-2.5512128069776345,2
1750783253.191814661,21460,680,,-0.01567018872756808,-0.010487529170096876,-0.8794300318255288,0.018855850096223044,-2.5517924652678095,2
1750783253.243427277,21461,684,,-0.015665464574630958,-0.010493407322602732,-0.8793516769873504,0.018855194975843398,-2.5513940286696104,2
1750783253.296684027,21462,687,,-0.015748999615708872,-0.010573726858282062,-0.8406281147532454,0.018969309122083326,-2.5503269118356613,2
1750783253.351243019,21463,683,,-0.01442539564350483,-0.010672575042233623,-0.8365451144684741,0.017944244132973564,-2.5046216713508542,2
1750783253.406963587,21464,680,,-0.013565784979704766,-0.007189904696745186,-0.7269602928465443,0.015353346594923921,-2.6542318493760915,2
1750783253.460916996,21465,676,,-0.0136078761570502,-0.007356794771546049,-0.6970850128637964,0.01546921855868171,-2.6459735322651787,2
1750783253.515188217,21466,685,,-0.011740028547629369,-0.00631179462996212,-0.6525008330215013,0.013329179335201818,-2.648295937796303,2
1750783253.568575144,21467,679,,-0.011966884416592903,-0.0051071368050042976,-0.6519124821016606,0.013011117130558912,-2.7382216676363917,2
1750783253.623400450,21468,679,,-0.011315799641794466,-0.004325611348560354,-0.6113437957270313,0.01211438133261579,-2.7764696886908005,2
1750783253.679560184,21469,673,,-0.009936871874031361,-0.002345522342725892,-0.531936520172492,0.01020994112133571,-2.9097931474010803,2
1750783253.733662367,21470,668,,-0.010009106628497695,-0.0017805664755133899,-0.4822359195190493,0.010166249675979766,-2.965539743128416,2
1750783253.789902210,21471,670,,-0.009209450704755269,-0.002002226231627935,-0.460470877070947,0.009424589761148032,-2.92751416436208,2
1750783253.844531298,21472,666,,-0.009477597617588339,-0.0013193711929727625,-0.4463016680087208,0.009568991427823652,-3.003272144929685,2
1750783253.900203943,21473,659,,-0.009174930262994103,-0.0005699842417168366,-0.3890594372752413,0.00919261809097988,-3.0795482944091686,2
1750783253.955487967,21474,661,,-0.008771587125396971,0.0006076384416691116,-0.37518445969496134,0.008792608553451244,3.072429657165548,2
1750783254.010483742,21475,660,,-0.008854606372499605,-7.806847194613553e-05,-0.3766532835644387,0.008854950519241912,-3.132776174811443,2
1750783254.065317631,21476,661,,-0.008816884735240609,-6.387817299779996e-05,-0.376646735432972,0.008817116130317463,-3.1343477981447014,2
